Suite Name	Test Name	Test ID	Voltage	Frequency	Status	Context	Host Payload	Compare Check Data
conv-bmark	Conv Accelerator FP16 Convolution	2	0.55	50000000	PASS	{'seed': b'\xa4(\x9d\xec'}	a4289dec	340699973 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.55	100000000	PASS	{'seed': b'z@m^'}	7a406d5e	340757606 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.55	150000000	PASS	{'seed': b'\xb4\x03\x8a\x96'}	b4038a96	340854877 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.55	200000000	FAIL_NO_BEL	{'seed': b'Z\x97\x0eF'}	5a970e46	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.55	250000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.55	300000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.55	350000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.55	400000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.55	450000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.55	500000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.55	550000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.55	600000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.55	650000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.55	700000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.55	750000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.55	800000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.55	850000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.55	900000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.55	950000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.55	1000000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.55	1050000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.55	1100000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.55	1150000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.55	1200000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.55	1250000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.55	1300000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.60	50000000	PASS	{'seed': b'\xcdm\x12A'}	cd6d1241	340699323 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.60	100000000	PASS	{'seed': b'b\x07G8'}	62074738	340758672 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.60	150000000	PASS	{'seed': b'w^\xae}'}	775eae7d	340856890 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.60	200000000	PASS	{'seed': b'D\x08!\xbe'}	440821be	340967059 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.60	250000000	PASS	{'seed': b'\xf7-/)'}	f72d2f29	341090833 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.60	300000000	FAIL_NO_ETB	{'seed': b'\xc3\xdah,'}	c3da682c	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.60	350000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.60	400000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.60	450000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.60	500000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.60	550000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.60	600000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.60	650000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.60	700000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.60	750000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.60	800000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.60	850000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.60	900000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.60	950000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.60	1000000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.60	1050000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.60	1100000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.60	1150000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.60	1200000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.60	1250000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.60	1300000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.65	50000000	PASS	{'seed': b'a\xd5\x96\xb4'}	61d596b4	340699378 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.65	100000000	PASS	{'seed': b'\x0e\x979\xe5'}	0e9739e5	340757119 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.65	150000000	PASS	{'seed': b'\x8f\x97U\xd4'}	8f9755d4	340854959 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.65	200000000	PASS	{'seed': b'`A\xbd5'}	6041bd35	340966921 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.65	250000000	PASS	{'seed': b'\xf7\xd3\xfc\xf9'}	f7d3fcf9	341090857 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.65	300000000	PASS	{'seed': b'\xc5*\xc4X'}	c52ac458	341224098 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.65	350000000	PASS	{'seed': b'\x0b\xa6~\r'}	0ba67e0d	341357914 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.65	400000000	PASS	{'seed': b'N\xecE\xfe'}	4eec45fe	341499055 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.65	450000000	FAIL_NO_BEL	{'seed': b'I[\xd57'}	495bd537	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.65	500000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.65	550000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.65	600000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.65	650000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.65	700000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.65	750000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.65	800000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.65	850000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.65	900000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.65	950000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.65	1000000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.65	1050000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.65	1100000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.65	1150000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.65	1200000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.65	1250000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.65	1300000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.70	50000000	PASS	{'seed': b'\x048i\x8e'}	0438698e	340700196 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.70	100000000	PASS	{'seed': b'\x13\xcb\xf7\xeb'}	13cbf7eb	340760733 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.70	150000000	PASS	{'seed': b'\x02\xdf\x17\xd4'}	02df17d4	340856695 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.70	200000000	PASS	{'seed': b'=\xf5p\x08'}	3df57008	340966823 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.70	250000000	PASS	{'seed': b'l\x0f\t\xd0'}	6c0f09d0	341091107 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.70	300000000	PASS	{'seed': b'yo\xecH'}	796fec48	341223793 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.70	350000000	PASS	{'seed': b'[\x18\xd3&'}	5b18d326	341357942 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.70	400000000	PASS	{'seed': b'\xe7\x08\xf2T'}	e708f254	341498735 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.70	450000000	PASS	{'seed': b'e9&\xad'}	653926ad	341636272 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.70	500000000	PASS	{'seed': b'\xb2\x9f\xe9M'}	b29fe94d	341780493 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.70	550000000	PASS	{'seed': b'CLb\x8b'}	434c628b	341923778 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.70	600000000	FAIL_NO_BEL	{'seed': b'"[\xe9\xda'}	225be9da	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.70	650000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.70	700000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.70	750000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.70	800000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.70	850000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.70	900000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.70	950000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.70	1000000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.70	1050000000	SKIP_MAX_FREQ_FAIL	None	None	None
