Suite Name	Test Name	Test ID	Voltage	Frequency	Status	Context	Host Payload	Compare Check Data
conv-bmark	Conv Accelerator FP16 Convolution	2	0.55	50000000	PASS	{'seed': b'74\x1e}'}	37341e7d	1703460771 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.55	100000000	PASS	{'seed': b'V[q\x8f'}	565b718f	1703518801 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.55	150000000	PASS	{'seed': b'\xe3\xe8\xa0\xa3'}	e3e8a0a3	1703615587 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.55	200000000	FAIL_NO_BEL	{'seed': b'\xa4S%Z'}	a453255a	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.55	250000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.55	300000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.55	350000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.55	400000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.55	450000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.55	500000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.55	550000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.55	600000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.55	650000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.55	700000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.55	750000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.55	800000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.55	850000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.55	900000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.55	950000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.55	1000000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.55	1050000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.55	1100000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.55	1150000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.55	1200000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.55	1250000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.55	1300000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.60	50000000	PASS	{'seed': b'\xf0\xea\x18\xcb'}	f0ea18cb	1703385953 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.60	100000000	PASS	{'seed': b'\xcf\xba\xa0\xe1'}	cfbaa0e1	1703517355 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.60	150000000	PASS	{'seed': b'\x82]*\x08'}	825d2a08	1703616942 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.60	200000000	PASS	{'seed': b'\xa4\xadZ\xc5'}	a4ad5ac5	1703727141 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.60	250000000	PASS	{'seed': b'\xba\x96\xfc\x15'}	ba96fc15	1703850981 cycles
