Channels: 2
Sample Rate: 44100
Bits per Sample: 16
header size: 1058400

[STARTING TEST]
Starting DMA FFT
[DONE] Waiting Write
mcycle = 12609
minstret = 1917
Starting CPU FFT
mcycle = 191479
minstret = 47101
Finished CPU FFT
Start CPU vs DMA Comparison
[0] [CPU] Real: (44)
[0] [DMA] Real: (287776833536.000000)
[1] [CPU] Real: (-1113)
[1] [DMA] Real: (-4639082496.000000)
[2] [CPU] Real: (-694)
[2] [DMA] Real: (-4568263168.000000)
[3] [CPU] Real: (3182)
[3] [DMA] Real: (-4531202560.000000)
[4] [CPU] Real: (989)
[4] [DMA] Real: (-4498058752.000000)
[5] [CPU] Real: (-2)
[5] [DMA] Real: (-4463276544.000000)
[6] [CPU] Real: (1413)
[6] [DMA] Real: (-4421685248.000000)
[7] [CPU] Real: (593)
[7] [DMA] Real: (-4372599296.000000)
[8] [CPU] Real: (-967)
[8] [DMA] Real: (-4315289600.000000)
[9] [CPU] Real: (67)
[9] [DMA] Real: (-4243329536.000000)
[10] [CPU] Real: (667)
[10] [DMA] Real: (-4152197888.000000)
[11] [CPU] Real: (-14)
[11] [DMA] Real: (-4033428480.000000)
[12] [CPU] Real: (-76)
[12] [DMA] Real: (-3877448960.000000)
[13] [CPU] Real: (1459)
[13] [DMA] Real: (-3659766272.000000)
[14] [CPU] Real: (83)
[14] [DMA] Real: (-3336445952.000000)
[15] [CPU] Real: (-1701)
[15] [DMA] Real: (-2805493248.000000)
[16] [CPU] Real: (229)
[16] [DMA] Real: (-1805791488.000000)
[17] [CPU] Real: (1436)
[17] [DMA] Real: (790892352.000000)
[18] [CPU] Real: (-2965)
[18] [DMA] Real: (21799510016.000000)
[19] [CPU] Real: (932)
[19] [DMA] Real: (-16414653440.000000)
[20] [CPU] Real: (-256)
[20] [DMA] Real: (-9962840064.000000)
[21] [CPU] Real: (-1028)
[21] [DMA] Real: (-8312841216.000000)
[22] [CPU] Real: (-417)
[22] [DMA] Real: (-7589492224.000000)
[23] [CPU] Real: (-1752)
[23] [DMA] Real: (-7222946816.000000)
[24] [CPU] Real: (-2086)
[24] [DMA] Real: (-7032826880.000000)
[25] [CPU] Real: (-28)
[25] [DMA] Real: (-6958935040.000000)
[26] [CPU] Real: (-2756)
[26] [DMA] Real: (-6975874048.000000)
[27] [CPU] Real: (-1490)
[27] [DMA] Real: (-7075086336.000000)
[28] [CPU] Real: (1231)
[28] [DMA] Real: (-7261026304.000000)
[29] [CPU] Real: (-80)
[29] [DMA] Real: (-7551984640.000000)
[30] [CPU] Real: (1939)
[30] [DMA] Real: (-7986164736.000000)
[31] [CPU] Real: (-554)
[31] [DMA] Real: (-8630215680.000000)
[32] [CPU] Real: (-719)
[32] [DMA] Real: (-9612034048.000000)
[33] [CPU] Real: (-935)
[33] [DMA] Real: (-11200422912.000000)
