Freq: 100, Voltage: 0.55, Output: Valid, Power: 0.0069090263225
Freq: 100, Voltage: 0.6000000000000001, Output: Valid, Power: 0.007427223836666667
Freq: 100, Voltage: 0.65, Output: Valid, Power: 0.009110491097142858
Freq: 100, Voltage: 0.7, Output: Valid, Power: 0.01032761139142857
Freq: 100, Voltage: 0.75, Output: Valid, Power: 0.011667751897142855
Freq: 100, Voltage: 0.8, Output: Valid, Power: 0.013132752241714285
Freq: 100, Voltage: 0.8500000000000001, Output: Valid, Power: 0.014160296347
Freq: 100, Voltage: 0.9000000000000001, Output: Valid, Power: 0.01660552295257143
Freq: 100, Voltage: 0.9500000000000002, Output: Valid, Power: 0.018591652342714288
Freq: 100, Voltage: 1.0000000000000002, Output: Valid, Power: 0.020401195307428573
Freq: 100, Voltage: 1.05, Output: Valid, Power: 0.0293808439095
Freq: 100, Voltage: 1.1, Output: Valid, Power: 0.032540463101
Freq: 100, Voltage: 1.1500000000000001, Output: Valid, Power: 0.036047002504
Freq: 100, Voltage: 1.2000000000000002, Output: Valid, Power: 0.040063498551
Freq: 100, Voltage: 1.25, Output: Valid, Power: 0.046158647424
Freq: 100, Voltage: 1.3, Output: Valid, Power: 0.048283967973999996
Freq: 100, Voltage: 1.35, Output: Valid, Power: 0.058070371241249995
Freq: 150, Voltage: 0.55, Output: Valid, Power: 0.008932675637500002
Freq: 150, Voltage: 0.6000000000000001, Output: Valid, Power: 0.01053838115875
Freq: 150, Voltage: 0.65, Output: Valid, Power: 0.012372206804999999
Freq: 150, Voltage: 0.7, Output: Valid, Power: 0.01417033829625
Freq: 150, Voltage: 0.75, Output: Valid, Power: 0.0160891847535
Freq: 150, Voltage: 0.8, Output: Valid, Power: 0.018337920799
Freq: 150, Voltage: 0.8500000000000001, Output: Valid, Power: 0.020622715373999997
Freq: 150, Voltage: 0.9000000000000001, Output: Valid, Power: 0.023349382326000003
Freq: 150, Voltage: 0.9500000000000002, Output: Valid, Power: 0.026105013061500003
Freq: 150, Voltage: 1.0000000000000002, Output: Valid, Power: 0.02888388670975
Freq: 150, Voltage: 1.0500000000000003, Output: Valid, Power: 0.0318326741555
Freq: 150, Voltage: 1.1000000000000003, Output: Valid, Power: 0.035690921015500005
Freq: 150, Voltage: 1.1500000000000004, Output: Valid, Power: 0.039763846875
Freq: 150, Voltage: 1.2000000000000004, Output: Valid, Power: 0.044251704314250004
Freq: 150, Voltage: 1.25, Output: Valid, Power: 0.049094697664
Freq: 150, Voltage: 1.3, Output: Valid, Power: 0.054920120796749995
Freq: 150, Voltage: 1.35, Output: Valid, Power: 0.062056158689250004
Freq: 200, Voltage: 0.55, Output: Invalid, Power: 0.011448658443928573
Freq: 200, Voltage: 0.6000000000000001, Output: Valid, Power: 0.012867362345000001
Freq: 200, Voltage: 0.65, Output: Valid, Power: 0.015107322645
Freq: 200, Voltage: 0.7, Output: Valid, Power: 0.01734438766625
Freq: 200, Voltage: 0.75, Output: Valid, Power: 0.01985728029925
Freq: 200, Voltage: 0.8, Output: Valid, Power: 0.022696642880999998
Freq: 200, Voltage: 0.8500000000000001, Output: Valid, Power: 0.0256423492575
Freq: 200, Voltage: 0.9000000000000001, Output: Valid, Power: 0.028914707851
Freq: 200, Voltage: 0.9500000000000002, Output: Valid, Power: 0.032538005285
Freq: 200, Voltage: 1.0000000000000002, Output: Valid, Power: 0.03606352494175
Freq: 200, Voltage: 1.0500000000000003, Output: Valid, Power: 0.039971066254
Freq: 200, Voltage: 1.1000000000000003, Output: Valid, Power: 0.04458594829325
Freq: 200, Voltage: 1.1500000000000004, Output: Valid, Power: 0.049662657247500006
Freq: 200, Voltage: 1.2000000000000004, Output: Valid, Power: 0.055171458614250005
Freq: 200, Voltage: 1.25, Output: Valid, Power: 0.061245164224
Freq: 200, Voltage: 1.3, Output: Valid, Power: 0.06825775762299999
Freq: 200, Voltage: 1.35, Output: Valid, Power: 0.0766784763095
Freq: 250, Voltage: 0.55, Output: Invalid, Power: 0.011616336957142858
Freq: 250, Voltage: 0.6000000000000001, Output: Invalid, Power: 0.0151467013925
Freq: 250, Voltage: 0.65, Output: Valid, Power: 0.017831713815
Freq: 250, Voltage: 0.7, Output: Valid, Power: 0.02054118882375
Freq: 250, Voltage: 0.75, Output: Valid, Power: 0.023576429797249998
Freq: 250, Voltage: 0.8, Output: Valid, Power: 0.0268339079525
Freq: 250, Voltage: 0.8500000000000001, Output: Valid, Power: 0.030551446610999997
Freq: 250, Voltage: 0.9000000000000001, Output: Valid, Power: 0.034509069857
Freq: 250, Voltage: 0.9500000000000002, Output: Valid, Power: 0.0386915707945
Freq: 250, Voltage: 1.0000000000000002, Output: Valid, Power: 0.043112597010250005
Freq: 250, Voltage: 1.0500000000000003, Output: Valid, Power: 0.04773383314725
Freq: 250, Voltage: 1.1000000000000003, Output: Valid, Power: 0.053301209203
Freq: 250, Voltage: 1.1500000000000004, Output: Valid, Power: 0.059149676051
Freq: 250, Voltage: 1.2000000000000004, Output: Valid, Power: 0.06584430448675
Freq: 250, Voltage: 1.25, Output: Valid, Power: 0.073029054208
Freq: 250, Voltage: 1.3, Output: Valid, Power: 0.08114945226025
Freq: 250, Voltage: 1.35, Output: Valid, Power: 0.09070535617075
Freq: 300, Voltage: 0.55, Output: Invalid, Power: 0.011620166130357143
Freq: 300, Voltage: 0.6000000000000001, Output: Invalid, Power: 0.01810866805446429
Freq: 300, Voltage: 0.65, Output: Valid, Power: 0.02044999575
Freq: 300, Voltage: 0.7, Output: Valid, Power: 0.023658183711250003
Freq: 300, Voltage: 0.75, Output: Valid, Power: 0.0272098768285
Freq: 300, Voltage: 0.8, Output: Valid, Power: 0.0310361897615
Freq: 300, Voltage: 0.8500000000000001, Output: Valid, Power: 0.035321523021
Freq: 300, Voltage: 0.9000000000000001, Output: Valid, Power: 0.03988351991
Freq: 300, Voltage: 0.9500000000000002, Output: Valid, Power: 0.044876262919249996
Freq: 300, Voltage: 1.0000000000000002, Output: Valid, Power: 0.04994956159475
Freq: 300, Voltage: 1.0500000000000003, Output: Valid, Power: 0.05544412281775
Freq: 300, Voltage: 1.1000000000000003, Output: Valid, Power: 0.06195715392625
Freq: 300, Voltage: 1.1500000000000004, Output: Valid, Power: 0.0690042335035
Freq: 300, Voltage: 1.2000000000000004, Output: Valid, Power: 0.07646407951949999
Freq: 300, Voltage: 1.25, Output: Valid, Power: 0.08458887308799999
Freq: 300, Voltage: 1.3, Output: Valid, Power: 0.09393486184225
Freq: 300, Voltage: 1.35, Output: Valid, Power: 0.10460025407974999
Freq: 350, Voltage: 0.55, Output: Invalid, Power: 0.011602944112500001
Freq: 350, Voltage: 0.6000000000000001, Output: Invalid, Power: 0.018270792380714284
Freq: 350, Voltage: 0.65, Output: Valid, Power: 0.023057553015
Freq: 350, Voltage: 0.7, Output: Valid, Power: 0.02674070089
Freq: 350, Voltage: 0.75, Output: Valid, Power: 0.030757621393
Freq: 350, Voltage: 0.8, Output: Valid, Power: 0.0352384715705
Freq: 350, Voltage: 0.8500000000000001, Output: Valid, Power: 0.04009223714175
Freq: 350, Voltage: 0.9000000000000001, Output: Valid, Power: 0.045360610546999997
Freq: 350, Voltage: 0.9500000000000002, Output: Valid, Power: 0.050998701813500004
Freq: 350, Voltage: 1.0000000000000002, Output: Valid, Power: 0.056770017813750004
Freq: 350, Voltage: 1.0500000000000003, Output: Valid, Power: 0.06307844543375
Freq: 350, Voltage: 1.1000000000000003, Output: Valid, Power: 0.07048674069075
Freq: 350, Voltage: 1.1500000000000004, Output: Valid, Power: 0.078346315013
Freq: 350, Voltage: 1.2000000000000004, Output: Valid, Power: 0.08691434438325
Freq: 350, Voltage: 1.25, Output: Valid, Power: 0.09608681459200001
Freq: 350, Voltage: 1.3, Output: Valid, Power: 0.10646642240849999
Freq: 350, Voltage: 1.35, Output: Valid, Power: 0.11834055420324999
Freq: 400, Voltage: 0.55, Output: Invalid, Power: 0.01162399530357143
Freq: 400, Voltage: 0.6000000000000001, Output: Invalid, Power: 0.01826243656107143
Freq: 400, Voltage: 0.65, Output: Invalid, Power: 0.026492233043571428
Freq: 400, Voltage: 0.7, Output: Valid, Power: 0.029766163586249998
Freq: 400, Voltage: 0.75, Output: Valid, Power: 0.03425641990975
Freq: 400, Voltage: 0.8, Output: Valid, Power: 0.039323123097499996
Freq: 400, Voltage: 0.8500000000000001, Output: Valid, Power: 0.044765594088
Freq: 400, Voltage: 0.9000000000000001, Output: Valid, Power: 0.050646600623
Freq: 400, Voltage: 0.9500000000000002, Output: Valid, Power: 0.056904680047499996
Freq: 400, Voltage: 1.0000000000000002, Output: Valid, Power: 0.06355795755525
Freq: 400, Voltage: 1.0500000000000003, Output: Valid, Power: 0.07054700077275
Freq: 400, Voltage: 1.1000000000000003, Output: Valid, Power: 0.077977004065
Freq: 400, Voltage: 1.1500000000000004, Output: Valid, Power: 0.08766222685725
Freq: 400, Voltage: 1.2000000000000004, Output: Valid, Power: 0.09714981408
Freq: 400, Voltage: 1.25, Output: Valid, Power: 0.107422249856
Freq: 400, Voltage: 1.3, Output: Valid, Power: 0.1187226819295
Freq: 400, Voltage: 1.35, Output: Valid, Power: 0.13188305017325
Freq: 450, Voltage: 0.55, Output: Invalid, Power: 0.011599743873214287
Freq: 450, Voltage: 0.6000000000000001, Output: Invalid, Power: 0.018279148200357143
Freq: 450, Voltage: 0.65, Output: Invalid, Power: 0.026492233043571428
Freq: 450, Voltage: 0.7, Output: Valid, Power: 0.032814553083749996
Freq: 450, Voltage: 0.75, Output: Valid, Power: 0.03779216237825
Freq: 450, Voltage: 0.8, Output: Valid, Power: 0.043303547793
Freq: 450, Voltage: 0.8500000000000001, Output: Valid, Power: 0.04935519835575
Freq: 450, Voltage: 0.9000000000000001, Output: Valid, Power: 0.05590377930700001
Freq: 450, Voltage: 0.9500000000000002, Output: Valid, Power: 0.06285699179275
Freq: 450, Voltage: 1.0000000000000002, Output: Valid, Power: 0.07028061421500001
Freq: 450, Voltage: 1.0500000000000003, Output: Valid, Power: 0.078094719589
Freq: 450, Voltage: 1.1000000000000003, Output: Valid, Power: 0.08705633442
Freq: 450, Voltage: 1.1500000000000004, Output: Valid, Power: 0.09701516941300001
Freq: 450, Voltage: 1.2000000000000004, Output: Valid, Power: 0.107348875063
Freq: 450, Voltage: 1.25, Output: Valid, Power: 0.11805578316799999
Freq: 450, Voltage: 1.3, Output: Valid, Power: 0.131211013406
Freq: 450, Voltage: 1.35, Output: Valid, Power: 0.14522706689025
Freq: 500, Voltage: 0.55, Output: Invalid, Power: 0.011602296655357143
Freq: 500, Voltage: 0.6000000000000001, Output: Invalid, Power: 0.01829634339982143
Freq: 500, Voltage: 0.65, Output: Invalid, Power: 0.026492233043571428
Freq: 500, Voltage: 0.7, Output: Invalid, Power: 0.03765725855214286
Freq: 500, Voltage: 0.75, Output: Valid, Power: 0.04130315052375
Freq: 500, Voltage: 0.8, Output: Valid, Power: 0.047388399371499995
Freq: 500, Voltage: 0.8500000000000001, Output: Valid, Power: 0.05394544033425
Freq: 500, Voltage: 0.9000000000000001, Output: Valid, Power: 0.061204625257
Freq: 500, Voltage: 0.9500000000000002, Output: Valid, Power: 0.06882451043400001
Freq: 500, Voltage: 1.0000000000000002, Output: Valid, Power: 0.07688896295
Freq: 500, Voltage: 1.0500000000000003, Output: Valid, Power: 0.0854502220015
Freq: 500, Voltage: 1.1000000000000003, Output: Valid, Power: 0.0954633164755
Freq: 500, Voltage: 1.1500000000000004, Output: Valid, Power: 0.10624207311325
Freq: 500, Voltage: 1.2000000000000004, Output: Valid, Power: 0.11648432882225
Freq: 500, Voltage: 1.25, Output: Valid, Power: 0.129868424256
Freq: 500, Voltage: 1.3, Output: Valid, Power: 0.14338178983974997
Freq: 500, Voltage: 1.35, Output: Valid, Power: 0.1585936994405
Freq: 550, Voltage: 0.55, Output: Invalid, Power: 0.011638035605357143
Freq: 550, Voltage: 0.6000000000000001, Output: Invalid, Power: 0.0182680071075
Freq: 550, Voltage: 0.65, Output: Invalid, Power: 0.026492233043571428
Freq: 550, Voltage: 0.7, Output: Invalid, Power: 0.03765725855214286
Freq: 550, Voltage: 0.75, Output: Valid, Power: 0.04480213657325
Freq: 550, Voltage: 0.8, Output: Valid, Power: 0.0513558207195
Freq: 550, Voltage: 0.8500000000000001, Output: Valid, Power: 0.05856331644525
Freq: 550, Voltage: 0.9000000000000001, Output: Valid, Power: 0.06640283062300001
Freq: 550, Voltage: 0.9500000000000002, Output: Valid, Power: 0.07471504416425
Freq: 550, Voltage: 1.0000000000000002, Output: Valid, Power: 0.08353007828924999
Freq: 550, Voltage: 1.0500000000000003, Output: Valid, Power: 0.09280651109875
Freq: 550, Voltage: 1.1000000000000003, Output: Valid, Power: 0.103509833262
Freq: 550, Voltage: 1.1500000000000004, Output: Valid, Power: 0.11474498935739999
Freq: 550, Voltage: 1.2000000000000004, Output: Valid, Power: 0.12735847504824999
Freq: 550, Voltage: 1.25, Output: Valid, Power: 0.14079603136000002
Freq: 550, Voltage: 1.3, Output: Valid, Power: 0.1553198442565
Freq: 550, Voltage: 1.35, Output: Valid, Power: 0.17189417223975
Freq: 600, Voltage: 0.55, Output: Invalid, Power: 0.011630377258928572
Freq: 600, Voltage: 0.6000000000000001, Output: Invalid, Power: 0.018295859839642856
Freq: 600, Voltage: 0.65, Output: Invalid, Power: 0.026492233043571428
Freq: 600, Voltage: 0.7, Output: Invalid, Power: 0.03765725855214286
Freq: 600, Voltage: 0.75, Output: Invalid, Power: 0.05038070007789286
Freq: 600, Voltage: 0.8, Output: Valid, Power: 0.055362252109999996
Freq: 600, Voltage: 0.8500000000000001, Output: Valid, Power: 0.063139316217
Freq: 600, Voltage: 0.9000000000000001, Output: Valid, Power: 0.071527431886
Freq: 600, Voltage: 0.9500000000000002, Output: Valid, Power: 0.08052740494475
Freq: 600, Voltage: 1.0000000000000002, Output: Valid, Power: 0.08997584463675001
Freq: 600, Voltage: 1.0500000000000003, Output: Valid, Power: 0.10014470644675
Freq: 600, Voltage: 1.1000000000000003, Output: Valid, Power: 0.11175740841800001
Freq: 600, Voltage: 1.1500000000000004, Output: Valid, Power: 0.1238074830015
Freq: 600, Voltage: 1.2000000000000004, Output: Valid, Power: 0.13729686041824998
